A	B
[START]	[START]
ADD 4-chloro-5H-pyrrolo[3,2-d]pyrimidine	ADD 4-chloro-5H-pyrrolo[3,2-d]pyrimidine
ADD DMF	ADD DMF
ADD cesium carbonate	COOL to 25°C
STIR at 25°C for 20 min	ADD cesium carbonate
ADD	STIR for 2 h
STIR for 16 h	ADD water
ADD water	HEAT to 25°C
EXTRACT with ethyl acetate	ADD
DRY SOLUTION organic phase with Na2SO4	EXTRACT with ethyl acetate
CONCENTRATE	REPEAT 3 time(s)
PURIFY by chromatography	WASH organic phase with brine
YIELD: 2-(1-(4-chloro-5h-pyrrolo[3,2-d]pyrimidin-6-yl)ethyl)-3-(3-fluorophenyl)-4h-chromen-4-one	DRY SOLUTION with Na2SO4
[END]	FILTER
	CONCENTRATE filtrate
	PURIFY by chromatography
	YIELD: 2-(1-(4-chloro-5h-pyrrolo[3,2-d]pyrimidin-6-yl)ethyl)-3-(3-fluorophenyl)-4h-chromen-4-one
	[END]
