A	B
[START]	[START]
ADD 2-(N-(4-hydroxybenzoyl)amino)ethyl 3-aminocrotonate	ADD ethanol
ADD methyl 2-(3-nitrobenzylidene)acetylacetate	ADD 2-(N-(4-hydroxybenzoyl)amino)ethyl 3-aminocrotonate
ADD ethanol	STIR for 2 h
REFLUX for 5 h	EVAPORATE
EVAPORATE solvent	MAKE SOLUTION
MELT	ADD methyl 2-(3-nitrobenzylidene)acetylacetate
YIELD: 2-(n-(4-hydroxybenzoyl)amino)ethyl 2,6-dimethyl-5-methoxycarbonyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylate	HEAT to 65°C for 2 h
[END]	COOL to 25°C
	ADD water
	EXTRACT with dichloromethane
	REPEAT 2 time(s)
	SEPARATE
	DRY SOLUTION with Na2SO4
	EVAPORATE
	CRYSTALLISE
	YIELD: 2-(n-(4-hydroxybenzoyl)amino)ethyl 2,6-dimethyl-5-methoxycarbonyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylate
	[END]
