index	role	name	inchi
2	REACTANT	butyryl chloride	InChI=1S/C4H7ClO/c1-2-3-4(5)6/h2-3H2,1H3
3	REACTANT	Na2CO3	InChI=1S/CH2O3.2Na/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2
4	REACTANT	2-pentanone	InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3
5	REACTANT	TFA	InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)
6	REACTANT	LiHMDS	InChI=1S/C6H18NSi2.Li/c1-8(2,3)7-9(4,5)6;/h1-6H3;/q-1;+1
8	REACTANT	HCl	InChI=1S/ClH/h1H
9	REACTANT	4-amino-1,1,1-trifluoro-3-butene-2-one	InChI=1S/C4H4F3NO/c5-4(6,7)3(9)1-2-8/h1-2H,8H2
0	SOLVENT	toluene	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3
1	SOLVENT	THF	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
7	TARGET	3-propionyl-2-propyl-6-trifluoromethyl-pyridine	InChI=1S/C12H14F3NO/c1-3-5-9-8(10(17)4-2)6-7-11(16-9)12(13,14)15/h6-7H,3-5H2,1-2H3
