index	role	name	inchi
0	REACTANT	methylmagnesium bromide	InChI=1S/CH3.BrH.Mg/h1H3;1H;/p-1
4	REACTANT	1-(4-bromo-3-methoxyphenyl)piperazine	InChI=1S/C11H15BrN2O/c1-15-11-8-9(2-3-10(11)12)14-6-4-13-5-7-14/h2-3,8,13H,4-7H2,1H3
7	REACTANT	quinoline-3-carboxaldehyde	InChI=1S/C10H7NO/c12-7-8-5-9-3-1-2-4-10(9)11-6-8/h1-7H
8	REACTANT	benzotriazole	InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)
10	REACTANT	NaOH	InChI=1S/Na.H2O/h;1H2/q+1;/p-1
1	SOLVENT	toluene	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3
2	SOLVENT	ethyl acetate	InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3
3	SOLVENT	THF	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
5	SOLVENT	diethyl ether	InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3
6	SOLVENT	ethanol	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3
9	TARGET	3-{1-[4-(4-bromo-3-methoxy-phenyl)-piperazin-1-yl]-ethyl}-quinoline	InChI=1S/C22H24BrN3O/c1-16(18-13-17-5-3-4-6-21(17)24-15-18)25-9-11-26(12-10-25)19-7-8-20(23)22(14-19)27-2/h3-8,13-16H,9-12H2,1-2H3
